 Run_No.   Original_ID Tr     Solution     Inbr_%                                                                        
      55        703084  3   -2.7991438        0.000    
      56        703087  1    23.753807        0.000    
      56        703087  2    9.9729219        0.000    
      56        703087  3   -4.4892114        0.000    
      57        703095  1   -10.746879        0.000    
      57        703095  2  -0.10831426        0.000    
      57        703095  3   0.49823121        0.000    
      58        703148  1   -31.073907        0.000    
      58        703148  2   -2.0937617        0.000    
      58        703148  3    2.0600667        0.000    
      59        703153  1   -26.021791        0.000    
      59        703153  2  -0.63288999        0.000    
      59        703153  3    1.3351963        0.000    
      60        703161  1    12.575423        0.000    
      60        703161  2    9.4744306        0.000    
      60        703161  3   -3.8364734        0.000    
      61        703166  1   -54.495650        0.000    
      61        703166  2   -7.0276249        0.000    
      61        703166  3    4.7811738        0.000    
      62        703246  1   0.62989766        0.000    
      62        703246  2   -12.542272        0.000    
      62        703246  3    4.3385809        0.000    
      63        712414  1    33.902482        0.000    
      63        712414  2    7.3617756        0.000    
      63        712414  3   -4.0151256        0.000    
      64        712427  1   -1.7676214        0.000    
      64        712427  2  -0.58318287        0.000    
      64        712427  3   0.27881940        0.000    
      65        712433  1    20.035194        0.000    
      65        712433  2   -2.8436927        0.000    
      65        712433  3   0.13116867        0.000    
      66        712474  1    33.111495        0.000    
      66        712474  2   0.17250686        0.000    
      66        712474  3   -1.4788594        0.000    
      67        712510  1   -21.856149        0.000    
      67        712510  2   -4.5464368        0.000    
      67        712510  3    2.5190607        0.000    
      68        712518  1   -11.387325        0.000    
      68        712518  2    3.3984975        0.000    
      68        712518  3  -0.69493781        0.000    
      69        712571  1    14.545715        0.000    
      69        712571  2   -2.3804659        0.000    
      69        712571  3   0.20528678        0.000    
      70        712628  1    11.117815        0.000    
      70        712628  2   -8.1300216        0.000    
      70        712628  3    2.3533662        0.000    
      71        712638  1   -8.2217152        0.000    
      71        712638  2   0.80180552        0.000    
      71        712638  3   0.73206860E-001   0.000    
      72        712656  1    2.8548031        0.000    
      72        712656  2    4.2591952        0.000    
      72        712656  3   -1.6047913        0.000    
      73        814001  1   -19.993093        0.000    
      73        814001  2   -2.6683829        0.000    
      73        814001  3    1.7854637        0.000    
      74        814002  1   -41.847182        0.000    
      74        814002  2    3.8164942        0.000    
      74        814002  3   0.46492807        0.000    
      75        814004  1   -40.650029        0.000    
      75        814004  2   -8.3929909        0.000    
      75        814004  3    4.6630349        0.000    
      76        814006  1    38.367859        0.000    
      76        814006  2   0.66100089        0.000    
      76        814006  3   -1.8741910        0.000    
      77        814007  1    3.3296532        0.000    
      77        814007  2    4.2565335        0.000    
      77        814007  3   -1.6241059        0.000    
      78        814010  1   -17.191402        0.000    
      78        814010  2    1.3814192        0.000    
      78        814010  3   0.25587765        0.000    
      79        814013  1    71.994275        0.000    
      79        814013  2    25.545453        0.000    
      79        814013  3   -11.975973        0.000    
      80        814014  1   -7.3189957        0.000    
      80        814014  2   0.56972773E-001   0.000    
      80        814014  3   0.29368882        0.000    
      81        814018  1    80.665689        0.000    
      81        814018  2  -0.36762371        0.000    
      81        814018  3   -3.3286985        0.000    
      82        814019  1   -26.490010        0.000    
      82        814019  2   0.50559193        0.000    
      82        814019  3   0.95913803        0.000    
      83        814020  1   -31.686931        0.000    
      83        814020  2   0.35254232        0.000    
      83        814020  3    1.2350065        0.000    
      84        814021  1   -10.041709        0.000    
      84        814021  2    2.8114710        0.000    
      84        814021  3  -0.54827541        0.000    
      85        814024  1   -32.289801        0.000    
      85        814024  2    1.2450514        0.000    
      85        814024  3   0.95019630        0.000    
      86        814025  1   -4.6415572        0.000    
      86        814025  2  -0.60318725        0.000    
      86        814025  3   0.40884198        0.000    
      87        814026  1    20.238100        0.000    
      87        814026  2   -6.0747910        0.000    
      87        814026  3    1.2470667        0.000    
      88        814028  1    21.298331        0.000    
      88        814028  2    9.0026920        0.000    
      88        814028  3   -4.0461126        0.000    
      89        814030  1    17.623479        0.000    
      89        814030  2   -3.0745027        0.000    
      89        814030  3   0.31478422        0.000    
      90        814032  1    62.019092        0.000    
      90        814032  2    9.0112341        0.000    
      90        814032  3   -5.7939432        0.000    
      91        814034  1    45.778355        0.000    
      91        814034  2    1.6883221        0.000    
      91        814034  3   -2.5493920        0.000    
      92        814038  1   -23.601863        0.000    
      92        814038  2   -2.2310401        0.000    
      92        814038  3    1.7878256        0.000    
      93        814040  1    36.778588        0.000    
      93        814040  2    6.6492008        0.000    
      93        814040  3   -3.8902971        0.000    
      94        814044  1    56.674328        0.000    
      94        814044  2    6.1108451        0.000    
      94        814044  3   -4.5554741        0.000    
      95        814046  1   -13.947113        0.000    
      95        814046  2   -5.9749279        0.000    
      95        814046  3    2.6772241        0.000    
      96        814048  1    52.464985        0.000    
      96        814048  2   -1.0727881        0.000    
      96        814048  3   -1.8747504        0.000    
      97        814052  1    34.390030        0.000    
      97        814052  2    3.0830907        0.000    
      97        814052  3   -2.5466767        0.000    
      98        814054  1   -2.4088049        0.000    
      98        814054  2   0.26112431        0.000    
      98        814054  3   0.12355872E-001   0.000    
      99        814058  1    11.897851        0.000    
      99        814058  2    2.6229370        0.000    
      99        814058  3   -1.4226947        0.000    
     100        814060  1    8.1881040        0.000    
     100        814060  2   -5.0033826        0.000    
     100        814060  3    1.3905438        0.000    
     101        814062  1    35.254079        0.000    
     101        814062  2    6.1056714        0.000    
     101        814062  3   -3.6356676        0.000    
     102        815004  1   -14.834171        0.000    
     102        815004  2    1.2076398        0.000    
     102        815004  3   0.21512630        0.000    
     103        815006  1    19.564487        0.000    
     103        815006  2   -3.4074361        0.000    
     103        815006  3   0.34748840        0.000    
     104        815008  1    61.163198        0.000    
     104        815008  2    4.6347745        0.000    
     104        815008  3   -4.2339260        0.000    
     105        815010  1    6.8608827        0.000    
     105        815010  2    7.6576928        0.000    
     105        815010  3   -2.9593200        0.000    
     106        815012  1   -78.662036        0.000    
     106        815012  2   -5.9640543        0.000    
     106        815012  3    5.4465493        0.000    
     107        815014  1   -79.121178        0.000    
     107        815014  2   -15.377353        0.000    
     107        815014  3    8.7424216        0.000    
     108        815018  1    14.571408        0.000    
     108        815018  2    6.8199833        0.000    
     108        815018  3   -2.9981292        0.000    
     109        815028  1    44.830061        0.000    
     109        815028  2   -1.7241567        0.000    
     109        815028  3   -1.3208361        0.000    
     110        815030  1   -42.753305        0.000    
     110        815030  2   -5.3632181        0.000    
     110        815030  3    3.6986781        0.000    
     111        815032  1   -34.121672        0.000    
     111        815032  2   -2.0354327        0.000    
     111        815032  3    2.1705421        0.000    
     112        815034  1    15.251936        0.000    
     112        815034  2    10.356091        0.000    
     112        815034  3   -4.2580495        0.000    
     113        815036  1   -13.779895        0.000    
     113        815036  2   -3.4308230        0.000    
     113        815036  3    1.7844767        0.000    
     114        815037  1   -35.532603        0.000    
     114        815037  2  -0.41156159        0.000    
     114        815037  3    1.6658939        0.000    
     115        815040  1    8.6863673        0.000    
     115        815040  2    5.5324398        0.000    
     115        815040  3   -2.2975442        0.000    
     116        815042  1   0.98665718E-001   0.000    
     116        815042  2   0.91209993        0.000    
     116        815042  3  -0.32182066        0.000    
     117        815046  1    48.659099        0.000    
     117        815046  2    10.127465        0.000    
     117        815046  3   -5.6100446        0.000    
     118        815048  1    2.9871492        0.000    
     118        815048  2    1.3520503        0.000    
     118        815048  3  -0.59866010        0.000    
     119        815052  1   -20.987827        0.000    
     119        815052  2   -8.9401526        0.000    
     119        815052  3    4.0111262        0.000    
     120        815054  1   -4.4608060        0.000    
     120        815054  2   -6.8694885        0.000    
     120        815054  3    2.5822017        0.000    
     121        815056  1   -35.461960        0.000    
     121        815056  2   -2.1522126        0.000    
     121        815056  3    2.2687907        0.000    
     122        815058  1    2.9569645        0.000    
     122        815058  2    15.362778        0.000    
     122        815058  3   -5.4736556        0.000    
     123        815060  1   -5.7675066        0.000    
     123        815060  2    7.7089544        0.000    
     123        815060  3   -2.4360449        0.000    
     124        815062  1   -5.4095112        0.000    
     124        815062  2   -7.7544659        0.000    
     124        815062  3    2.9305376        0.000    
     125        815066  1   -45.100663        0.000    
     125        815066  2   -9.5870894        0.000    
     125        815066  3    5.2693841        0.000    
     126        815068  1   -52.571162        0.000    
     126        815068  2   -9.5739943        0.000    
     126        815068  3    5.5849280        0.000    
     127        815070  1   -12.466020        0.000    
     127        815070  2   -3.5984383        0.000    
     127        815070  3    1.7865916        0.000    
     128        815074  1    53.588840        0.000    
     128        815074  2    8.8814643        0.000    
     128        815074  3   -5.3876107        0.000    
     129        815076  1    45.530695        0.000    
     129        815076  2    10.803815        0.000    
     129        815076  3   -5.7114217        0.000    
     130        815078  1   -24.260041        0.000    
     130        815078  2   -7.0375366        0.000    
     130        815078  3    3.4889666        0.000    
     131        815082  1    8.3008255        0.000    
     131        815082  2    1.4947497        0.000    
     131        815082  3  -0.87574808        0.000    
     132        815092  1   -7.7527926        0.000    
     132        815092  2    5.1742672        0.000    
     132        815092  3   -1.4683506        0.000    
     133        815102  1   0.35180259        0.000    
     133        815102  2    5.3704785        0.000    
     133        815102  3   -1.8842421        0.000    
     134        815104  1   -33.629801        0.000    
     134        815104  2   -1.6124357        0.000    
     134        815104  3    2.0023716        0.000    
     135        815106  1   -24.282124        0.000    
     135        815106  2   -24.028799        0.000    
     135        815106  3    9.4037510        0.000    
     136        815108  1    32.666736        0.000    
     136        815108  2   -1.2122515        0.000    
     136        815108  3  -0.97807434        0.000    
     137        815114  1   -81.768474        0.000    
     137        815114  2   -15.827289        0.000    
     137        815114  3    9.0130070        0.000    
     138        815116  1    19.544496        0.000    
     138        815116  2    4.3800513        0.000    
     138        815116  3   -2.3621156        0.000    
     139        815118  1   -6.5845591        0.000    
     139        815118  2   -10.180703        0.000    
     139        815118  3    3.8256799        0.000    
     140        815120  1   -11.573868        0.000    
     140        815120  2    2.6101563        0.000    
     140        815120  3  -0.41263357        0.000    
     141        815124  1   -6.9403916        0.000    
     141        815124  2   -2.6866873        0.000    
     141        815124  3    1.2327042        0.000    
     142        815125  1    11.307105        0.000    
     142        815125  2    2.8198133        0.000    
     142        815125  3   -1.4660849        0.000    
     143        815126  1   -19.537595        0.000    
     143        815126  2   -16.818626        0.000    
     143        815126  3    6.6910694        0.000    
     144        815128  1   -46.857256        0.000    
     144        815128  2   -5.5934464        0.000    
     144        815128  3    3.9546852        0.000    
     145        815130  1   -21.038461        0.000    
     145        815130  2   -10.485901        0.000    
     145        815130  3    4.5511358        0.000    
     146        815131  1    47.788550        0.000    
     146        815131  2    23.562664        0.000    
     146        815131  3   -10.248979        0.000    
     147        815132  1   -10.055156        0.000    
     147        815132  2   -1.6078921        0.000    
     147        815132  3   0.99045353        0.000    
     148        815134  1   -9.1588757        0.000    
     148        815134  2  -0.92003201        0.000    
     148        815134  3   0.71269813        0.000    
     149        815136  1    15.018518        0.000    
     149        815136  2    2.8942511        0.000    
     149        815136  3   -1.6507715        0.000    
     150        815142  1    7.7378903        0.000    
     150        815142  2    5.9929867        0.000    
     150        815142  3   -2.4175797        0.000    
     151        815146  1   -29.394037        0.000    
     151        815146  2   -4.4273847        0.000    
     151        815146  3    2.8005169        0.000    
     152        815148  1    20.905088        0.000    
     152        815148  2   -2.0490714        0.000    
     152        815148  3  -0.18257336        0.000    
     153        815150  1    37.865531        0.000    
     153        815150  2    9.9905220        0.000    
     153        815150  3   -5.0998380        0.000    
     154        815152  1   -5.4694771        0.000    
     154        815152  2    1.5776463        0.000    
     154        815152  3  -0.31483236        0.000    
     155        815154  1   -61.973753        0.000    
     155        815154  2   -8.6430047        0.000    
     155        815154  3    5.6637850        0.000    
     156        815156  1    27.047207        0.000    
     156        815156  2    1.2792125        0.000    
     156        815156  3   -1.6041136        0.000    
     157        815158  1   -46.052618        0.000    
     157        815158  2   -7.5508011        0.000    
     157        815158  3    4.6013379        0.000    
     158        815164  1    40.784533        0.000    
     158        815164  2    13.347254        0.000    
     158        815164  3   -6.3931779        0.000    
     159        815166  1    59.829372        0.000    
     159        815166  2    18.370673        0.000    
     159        815166  3   -8.9577174        0.000    
     160        815168  1    64.342036        0.000    
     160        815168  2    20.608717        0.000    
     160        815168  3   -9.9295633        0.000    
     161        815182  1   -67.948429        0.000    
     161        815182  2   -10.754276        0.000    
     161        815182  3    6.6546943        0.000    
     162        815184  1    10.566080        0.000    
     162        815184  2   0.18306668E-001   0.000    
     162        815184  3  -0.45936131        0.000    
     163        815186  1    23.595674        0.000    
     163        815186  2    6.6998368        0.000    
     163        815186  3   -3.3431052        0.000    
     164        815187  1    55.329048        0.000    
     164        815187  2    3.9419917        0.000    
     164        815187  3   -3.7430357        0.000    
     165        815188  1    21.415072        0.000    
     165        815188  2    14.816102        0.000    
     165        815188  3   -6.0746118        0.000    
     166        815190  1    55.944346        0.000    
     166        815190  2    10.094494        0.000    
     166        815190  3   -5.9104450        0.000    
     167        815192  1   -5.9533386        0.000    
     167        815192  2    3.8972020        0.000    
     167        815192  3   -1.1012816        0.000    
     168        815196  1   -1.6597894        0.000    
     168        815196  2    11.719850        0.000    
     168        815196  3   -4.0079969        0.000    
     169        815202  1   -44.440867        0.000    
     169        815202  2   -3.3239198        0.000    
     169        815202  3    3.0617067        0.000    
     170        815204  1    67.370276        0.000    
     170        815204  2    14.899333        0.000    
     170        815204  3   -8.0725454        0.000    
     171        815206  1   -26.986493        0.000    
     171        815206  2   -4.1259472        0.000    
     171        815206  3    2.5922765        0.000    
     172        815210  1    31.757007        0.000    
     172        815210  2    4.7705418        0.000    
     172        815210  3   -3.0213821        0.000    
     173        815214  1   -7.6546065        0.000    
     173        815214  2   0.12324698        0.000    
     173        815214  3   0.28512684        0.000    
     174        815216  1   -21.778011        0.000    
     174        815216  2  -0.51744973        0.000    
     174        815216  3    1.1132376        0.000    
     175        815218  1   -9.2394768        0.000    
     175        815218  2   0.68860178        0.000    
     175        815218  3   0.15630451        0.000    
     176        815220  1   -4.4118483        0.000    
     176        815220  2   -1.4480286        0.000    
     176        815220  3   0.69294796        0.000    
     177        815222  1   -31.355013        0.000    
     177        815222  2   -14.001415        0.000    
     177        815222  3    6.2169372        0.000    
     178        815224  1    43.979956        0.000    
     178        815224  2    9.8040813        0.000    
     178        815224  3   -5.2966549        0.000    
     179        815230  1   -4.6158143        0.000    
     179        815230  2    2.7573783        0.000    
     179        815230  3  -0.76204435        0.000    
     180        815232  1   -25.615265        0.000    
     180        815232  2   -5.0020745        0.000    
     180        815232  3    2.8388983        0.000    
     181        815234  1    8.0633480        0.000    
     181        815234  2    4.9634517        0.000    
     181        815234  3   -2.0733235        0.000    
     182        815238  1   -59.009957        0.000    
     182        815238  2   -4.9325545        0.000    
     182        815238  3    4.2453741        0.000    
     183        815246  1   -48.754175        0.000    
     183        815246  2   -11.539610        0.000    
     183        815246  3    6.1056130        0.000    
     184        815251  1   -5.6758748        0.000    
     184        815251  2   -12.943982        0.000    
     184        815251  3    4.7481643        0.000    
     185        816004  1   -69.229982        0.000    
     185        816004  2   -16.816153        0.000    
     185        816004  3    8.8195711        0.000    
     186        816006  1   -80.595352        0.000    
     186        816006  2   -18.922205        0.000    
     186        816006  3    10.039591        0.000    
     187        816008  1   -41.643837        0.000    
     187        816008  2   -3.9493493        0.000    
     187        816008  3    3.1591116        0.000    
     188        816010  1   -31.232684        0.000    
     188        816010  2   0.56912788E-001   0.000    
     188        816010  3    1.3185140        0.000    
     189        816016  1    31.834465        0.000    
     189        816016  2    4.5202594        0.000    
     189        816016  3   -2.9375261        0.000    
     190        816020  1   -68.382975        0.000    
     190        816020  2   -11.824683        0.000    
     190        816020  3    7.0457571        0.000    
     191        816023  1   -23.084241        0.000    
     191        816023  2   -12.811592        0.000    
     191        816023  3    5.4481584        0.000    
     192        816028  1   -57.810727        0.000    
     192        816028  2   -19.408929        0.000    
     192        816028  3    9.2324940        0.000    
