ID BV
106001 448.89026916
106006 -340.405101171
106011 259.5086341767
106012 17.1286822782
106024 264.980316564
106077 -60.2483538555
106084 430.616184492
106087 1071.600973047
106116 -989.580403044
106123 162.0746374179
106137 -292.4196256014
106148 -487.7276499984
106153 579.761020746
106161 740.809228311
106166 -338.5264909455
106168 -507.808567899
106246 833.984071977
106963 1015.146670128
701002 363.6634654263
701010 -202.135826916
701014 225.69367443
701019 -111.6228568737
701026 -71.9621283267
701028 15.74637523245
701042 411.034569183
701061 766.112246904
701063 -26.8381393263
701064 -207.775338771
701101 -383.9498664372
701102 -529.066864971
701103 383.8599289404
701140 273.4620289314
701153 -561.687452376
701170 918.42555669
702207 -47.543727825
702220 -76.935574992
702224 765.918844245
702259 75.844983741
702279 -233.28905557845
702329 95.6369439936
702332 -3.78956391588
702335 243.601261428
702339 -349.084501305
702342 70.7744488788
702345 -790.311907608
702356 -161.475850422
702369 -225.631773066
702371 -268.158308076
703001 -455.726938731
703005 129.4551545835
703006 -14.47975687764
703011 -305.841575664
703012 -772.406320398
703077 20.8169641116
703084 972.52236639
703087 379.75559001
703095 -179.7672228921
703148 -516.570307803
703153 -434.608080891
703161 193.468480518
703166 -899.867897178
703246 33.20533836588
712414 554.418812712
712427 -28.5459272292
712433 340.6379371893
712474 554.160566874
712510 -357.781211199
712518 -196.8268578339
712571 247.8771305082
712628 200.861055498
712638 -139.1261199102
712656 40.1114321538
814001 -329.976245421
814002 -707.6500074927
814004 -665.548540941
814006 641.298780222
814007 48.0684458766
814010 -290.3757041325
814013 1159.44355833
814014 -122.6644740618
814018 1351.459465737
814019 -444.5045633043
814020 -531.254161473
814021 -173.2332676899
814024 -542.961824571
814025 -76.6360526934
814026 349.872356973
814028 340.390756014
814030 300.6689217738
814032 1022.269387848
814034 763.53578316
814038 -391.19759652
814040 603.868439235
814044 938.007086925
814046 -222.759820305
814048 880.495910904
814052 570.312776967
814054 -40.80847456752
814058 194.498950275
814060 146.152670994
814062 579.322097628
815004 -250.589708031
815006 333.773680212
815008 1015.843067724
815010 101.0565868536
815012 -1306.469835981
815014 -1297.1549802
815018 231.687360396
815028 753.821335689
815030 -706.241939901
815032 -567.711416997
815034 236.695573143
815036 -224.555824287
815037 -594.271218363
815040 135.4660259484
815042 0.00391067762400032
815046 796.531460358
815048 47.5789017066
815052 -335.303703558
815054 -62.289329385
815056 -589.943513547
815058 21.765501072
815060 -110.5061250198
815062 -76.5790958976
815066 -737.919946305
815068 -863.041700496
815070 -202.251016956
815074 881.333737587
815076 742.922554137
815078 -393.536639034
815082 136.3032745488
815092 -139.1701244508
815102 -3.80983015188
815104 -560.238154764
815106 -363.213612342
815108 549.2129706234
815114 -1340.669960502
815116 319.371628164
815118 -91.8715201278
815120 -198.5269604523
815124 -111.3668298708
815125 184.249977009
815126 -296.787261774
815128 -774.54910362
815130 -333.360211446
815131 757.68391539
815132 -165.4754331873
815134 -151.7088995829
815136 246.266709339
815142 118.7492839674
815146 -484.223337105
815148 353.7699774456
815150 616.034170788
815152 -94.4400673812
815154 -1022.175596754
815156 450.611658792
815158 -757.539878523
815164 658.851362643
815166 968.69423079
815168 1040.221233321
815182 -1118.411079855
815184 176.9011602411
815186 383.020680444
815187 919.396931181
815188 331.843706454
815190 918.588453378
815192 -106.7319008688
815196 -48.9648104502
815202 -738.182373483
815204 1101.242332542
815206 -444.452898189
815210 523.171921677
815214 -128.4035547924
815216 -363.751587504
815218 -155.9642219355
815220 -71.263842042
815222 -499.765956516
815224 718.762254477
815230 -82.2761472189
815232 -419.905934343
815234 126.058339899
815238 -979.247458797
815246 -795.57270993
815251 -71.6652708894
816004 -1128.920760567
816006 -1315.436455446
816008 -690.216837012
816010 -523.113094452
816016 524.921441661
816020 -1123.754840451
816023 -363.417459192
816028 -933.015771876
816030 -524.888069844
816031 -933.738453915
816032 -382.4337670407
816034 254.328246096
816038 -99.446737338
816039 -20.11047058584
816040 416.465033238
816042 297.651867363
816043 -1004.247873516
816044 1551.681173556
816049 964.182347943
816050 467.4417115851
816053 -860.2895387304
816058 177.150411936
816060 -132.4709318112
816062 -570.868984344
816066 -1234.746122145
816068 -541.440536583
816070 -252.273260082
816071 300.3144672771
816072 467.2210008705
816080 -19.58057094264
816086 381.286431666
816092 -707.032892844
816094 -533.651037105
816098 188.5704410043
816114 -401.971633194
816116 -397.698432012
816120 -107.9396380857
816122 -1146.17821194
816126 1087.522144395
816136 -654.066685071
816140 -960.910901997
816142 -28.2185957052
816143 355.159668834
816144 -154.069667724
816148 393.451288758
816156 492.395187555
816158 66.5410944642
816164 -309.353425158
816168 436.691936004
816174 496.105858521
816178 500.106954243
816182 443.549452863
816183 -645.053926704
816201 296.0360653353
816202 1297.909791279
816207 0.423457521480001
816210 250.15373715
816214 -289.370798517
816220 925.517704518
816224 1887.65668539
816228 143.6500049322
816230 1309.176024558
816231 382.339902738
816232 -959.888496045
816236 -172.4412417966
816238 -190.920492168
816239 472.335109977
817506 430.883782128
817508 42.1000329432
817510 177.125307639
817512 -456.933025794
817516 -25.7549688303
817518 561.44467451046
817524 734.051693892
817526 -225.3953065737
817529 -60.965407287
817530 -647.997852987
817538 -1556.624114409
817544 -774.036968934
817547 764.765043183
817550 -539.240770254
817552 -242.27258166
817556 -245.5217127585
817558 -34.4129449836
817560 24.64696877748
817562 -35.1270065586
817564 -1131.381885915
817569 -229.999086429
817577 -11.22175572342
817580 451.0210407327
817581 -309.7017133053
817583 667.457026215
817584 -551.673286308
817586 -647.205035814
817592 -230.6929877895
817596 1012.82325381
817600 1240.171455588
817601 -216.9383471811
817602 66.0238416423
817604 413.100842079
817606 -186.454776984
817608 86.8278530892
817609 175.902441522
817610 913.24266501
817612 -660.760939653
817620 13.353046717203
817621 -588.015980163
817622 415.802235228
817624 68.84340717315
817625 -11.1808020276
817626 -1302.811788189
817628 -483.732128799
817632 -734.465384472
817638 -78.6828493674
817640 540.589260441
817644 112.104456126
817650 590.526652152
817654 -761.936212146
817655 162.780550209
817656 -89.9962038741
817658 734.692270665
817660 410.955258591
817662 735.638586777
817667 180.481337031
817668 785.562720666
817670 841.122695301
817674 -63.8258410824
817676 352.113843345
817678 467.71161351
817680 -645.224519811
817682 600.91560156
817684 894.62950587
817686 -513.7083169188
817688 -826.224332547
817690 96.3707049027
817692 -72.058267044
817696 628.394526342
817698 -1048.201160874
817700 -527.56286343927
817702 -218.862504087
817704 557.821934181
817706 1089.04518915
817710 -668.070703437
817712 579.917240478
817716 -1124.550389835
817720 -97.80693649224
817722 -180.456008727
817728 -799.171345329
817734 -26.6387883384
817744 1502.66619558
817746 1055.822097021
817748 62.9510014008
817750 -515.970758646
818502 1267.259194665
818504 934.191802194
818506 230.0675806728
818508 -136.7884208052
818510 -459.770654022
818512 872.141410101
818518 171.43555087704
818520 -16.0936781718
818522 -349.717879377
818524 -677.78713694847
818526 493.207233237
818530 -93.172390752
818532 258.807152616
818536 51.4815851334
818540 -1652.51773911
818543 187.487612673
818544 -1035.972834918
818546 680.077700562
818550 354.52147422
818554 296.501330133
818556 -985.330066152
818557 757.162521225
818558 333.767610126
818562 23.4670555065
818566 36.5926721052
818567 497.011177752
818568 791.270209038
818570 -482.9489134395
818572 804.768126261
818573 511.592347071
818574 515.27012793
818576 992.015856378
818580 853.990505316
818582 261.455551383
818587 483.24295335138
818588 611.947295817
818594 979.068547497
818596 720.135894141
818597 736.451613978
818598 1259.96926596
818600 -585.877705323
818602 -579.568472517
818608 -287.9535642333
818610 -459.4835582091
818612 231.3590407071
818614 49.6187065728
818616 446.28969942
818618 1120.560355209
818620 412.120568169
818622 841.90747785
818624 -18.9103121568
818628 351.042767835
818630 -522.140111136
818632 -691.818152346
818634 -893.448795066
818636 582.269064465
818638 335.007628254
818640 171.720023154
818642 589.2395082834
818646 3.46898170956
818647 39.22880703552
818650 -66.7606162848
818656 -928.539952404
818658 25.5458592444
818660 -1228.281480855
818664 434.81494836
818666 -1004.200967619
818668 1004.068130151
818670 -356.4153070128
818672 51.9077083767
818673 -1050.444102747
818674 -343.7835767259
818676 1186.267499739
818682 6.98204203859999
818684 779.224022445
818686 -173.3048697084
818687 -330.2024625807
818688 -595.18045218
818692 -292.516536843
818694 595.251634431
818696 172.4883340308
818700 660.853632507
818701 189.23900561991
818703 1.44272540748
818704 -90.623345052
818708 38.9888436276
818709 -443.101795884
818710 -251.2539899766
818716 -837.91674699
818718 123.6028533996
819502 -298.797837876
819504 504.952343082
819506 351.9482070816
819510 595.003886316
819512 312.909395664
819514 -402.749825721
819516 410.910788817
819520 -246.6103759038
819524 -390.25984362
819526 229.195879704
819530 440.047423596
819532 -380.397801984
819534 1305.39482541
819536 -890.41341594
819538 -1500.749139339
819540 -26.0750558718
819546 -786.77031654
819550 -776.534981139
819554 384.005636871
819556 -529.84124293614
819558 -229.3585635612
819560 652.091625612
819562 -487.917919506
819564 713.885951745
819566 -3.21226125912
819568 614.331488271
819570 419.0022698556
819576 1954.226027553
819580 -345.28992882
819582 -366.678975447
819584 -469.9313788515
819586 86.7899262606
819592 155.818218648
819594 -392.100298509
819596 601.5128845377
819600 -787.418701584
819604 -767.17790586
819606 -68.1045643884
819608 -50.4768375444
819610 -449.257640322
819612 -427.096352157
819614 -736.627869531
819616 738.4977176862
819618 -341.524116552
819628 -165.96407157
819632 -127.6978935873
820502 -631.051363536
820506 -287.3103083778
820516 158.5687190292
820522 -435.302150319
820526 692.856303393
820528 618.172496601
820532 -598.8938094426
820534 189.835848219
820542 -20.0488467333
820544 -706.119599412
820548 -244.227125862
820550 -69.7911364533
820552 750.9996804261
820558 1115.981274624
820564 847.6729316451
820566 1627.952195754
820568 -364.394309073
820570 55.3015066131
820576 690.207901809
820578 406.650163458
820586 7.677494421
820590 909.340110078
820594 630.172588689
820598 728.709223638
820600 370.7079823056
820602 757.926692097
820604 885.835311471
820606 35.0165886336
820608 223.750171431
820612 404.554251624
820614 -627.374150778
820616 -192.9369318507
820628 -203.1837475413
820636 -569.668047582
820638 697.274225343
820644 49.004789979
820648 -616.9760597268
820650 503.280864627
820656 -251.042058543
820658 -69.1943277336
820664 755.937103392
820668 19.2868826505
820672 304.377031638
820674 15.5190752346
820678 -123.9443140596
820680 -598.695332655
820684 49.4998670598
820688 169.9869393729
820690 260.437517043
820692 81.6212833071
820694 -959.303427732
820700 309.578341686
820708 -820.8303093717
820710 -739.224293241
820716 75.375137517
820718 -135.8235922191
820724 93.6981955599
820730 -1329.5408447247
821502 -617.661740541
821508 40.3352600814
821512 272.894280285
821516 -1167.276048405
821518 698.741537841
821520 1348.991133333
821522 -879.514618881
821528 665.9618315922
821530 -491.886610131
821532 -86.4179677386
821534 1123.703971953
821536 303.461968656
821538 599.612549853
821544 81.46288221
821546 -1397.609417235
821554 1227.215585022
821556 -392.744117037
821562 167.7044118
821564 319.720773261
821570 19.90981892532
821572 -486.371810889
821574 -265.32812113584
821580 -292.767220731
821584 -131.842651248
821586 763.166561988
821588 -110.5002049506
821590 748.703379132
821594 -113.3236575462
821596 670.128748365
821598 -967.941541869
821602 768.979379841
821612 868.165311699
821614 1268.608923888
821616 -58.2687902862
821618 439.503396393
821622 -757.450129473
821628 -554.567170326
821634 -292.302610332
821636 239.3846859783
821638 185.011206042
821642 -258.320169273
821644 91.3470918726
